AuthorID,ArticleID
1,4766
2,2526
2,7406
3,8581
3,10194
4,4384
4,11135
5,5022
6,2714
7,8532
8,5872
8,7343
8,9666
8,11512
8,11641
9,76
9,140
9,418
9,593
9,3103
9,3585
9,3776
9,4774
9,5226
9,5786
9,5859
9,6028
9,8329
9,8430
9,8702
9,10575
9,10600
9,11307
9,11460
10,2906
11,1059
11,6881
12,5900
13,16
13,2681
13,3219
14,2872
14,8134
15,4563
15,6022
15,7840
15,10585
17,3568
17,4185
19,6608
19,6766
20,4868
21,5813
23,2770
24,2965
24,3017
24,4179
24,4200
24,4229
24,4490
24,4529
24,4891
24,5430
24,5875
24,5916
24,7546
24,7625
24,7833
24,8181
24,10193
24,10551
24,10714
24,10825
24,10918
25,5794
26,3675
26,4075
26,11438
27,2199
27,9143
28,4908
28,5089
29,2339
29,2361
29,2402
29,4479
29,7570
30,134
30,350
30,351
30,518
30,4131
31,5160
32,3298
33,3604
34,6384
35,5646
35,8496
36,5607
37,5102
37,5324
37,10264
38,3599
38,4523
38,4625
38,5744
38,9525
39,2670
40,6335
41,4079
42,5243
43,8350
44,4024
45,5458
46,4077
46,4341
46,4604
46,9707
47,6246
47,9602
48,5357
48,5626
49,3683
49,3747
49,4158
50,4321
50,6431
50,10467
51,5610
51,8216
51,10293
52,5356
53,4058
54,8493
54,9932
55,4420
55,7059
56,6308
57,6152
58,4350
59,6391
60,2966
61,5407
61,5596
62,7954
64,6013
64,10164
65,3671
65,5685
67,496
67,2594
67,2634
67,3120
67,4251
67,4449
67,4466
67,5420
67,7519
67,7602
67,7642
67,7821
67,8087
67,8099
67,8118
69,279
69,6361
69,10449
70,2267
70,2628
70,7109
71,2360
71,11328
72,8108
73,3549
73,9342
74,2463
74,4855
74,5568
74,6128
74,6861
74,7198
74,8034
74,9302
74,11053
75,7082
76,5115
79,607
79,5363
79,8898
80,7728
81,3755
81,4283
81,5305
81,7723
82,5971
82,8140
83,3009
83,3249
84,4901
85,2650
86,2506
86,6486
86,7044
86,7117
86,7448
86,8074
87,3109
88,4395
88,11007
88,11150
88,11707
89,2288
89,8145
89,8682
91,2945
91,3304
91,5054
91,10184
92,1341
92,6884
92,6961
92,7829
93,6977
94,3053
94,4769
94,6996
94,10952
95,7113
96,4666
96,9421
97,3787
97,4034
97,4735
97,8305
97,9699
98,78
98,2430
98,2476
98,2769
98,3115
98,3612
98,4176
98,4193
98,4264
98,4326
98,4487
98,4562
98,4684
98,4870
98,4895
98,5165
98,5231
98,5540
98,5770
98,6102
98,6225
98,7260
98,7624
98,8067
98,9539
98,10793
98,10895
99,3081
100,3124
100,3206
100,4178
100,8470
100,9425
101,3652
102,5183
102,5353
102,5867
103,4481
103,7658
104,2579
104,7970
105,5005
105,5429
105,5491
106,7763
107,172
107,194
107,3436
107,3698
107,3764
107,3858
107,4071
107,4089
107,4174
107,4320
107,5915
107,9554
107,9904
107,10074
107,10106
108,3199
108,3554
108,4141
108,4514
108,5635
108,6214
108,8205
108,8510
108,9905
108,9949
108,10297
108,10533
109,2267
110,4079
111,5889
111,6279
112,98
112,147
112,353
112,8437
113,5057
113,10586
114,2503
114,3394
114,7915
114,10441
115,4352
115,8417
116,5293
116,5764
116,9486
117,5073
117,10294
118,8357
119,3357
119,5202
119,5271
119,5779
119,9907
120,3010
120,4311
120,4329
120,4580
120,5779
120,6051
120,6111
120,6211
120,9425
120,9694
120,9907
120,10357
120,10763
121,3209
121,3397
121,4100
121,4111
121,8208
121,10219
121,10346
122,4645
122,9298
123,5952
124,3997
125,586
125,1442
125,2190
125,2353
125,2492
125,6744
125,6815
125,8067
125,11602
126,6399
126,8226
126,10032
126,10299
127,8517
128,5459
128,5774
128,10365
128,10398
129,5917
130,3424
131,5538
132,3463
132,5754
133,2998
134,3193
134,8537
135,4093
136,4600
137,4347
137,4471
137,10546
138,3336
139,5634
139,5863
140,4599
140,5252
140,8458
141,5229
142,5694
142,5882
142,9328
143,5679
143,9585
144,3425
145,5833
145,8516
145,8591
145,10088
146,5701
147,3120
147,3564
147,4496
147,4559
147,5489
147,6339
147,9319
147,9832
148,1171
148,3139
149,3425
150,8336
151,8226
152,7295
153,5618
154,3410
155,3458
155,8422
155,10015
156,3180
156,3233
156,3346
156,4330
156,4946
156,5200
156,5488
156,5826
156,6249
156,8465
156,8596
157,5635
157,5791
158,5312
159,2701
159,6571
160,6006
160,8580
161,5349
161,6002
162,2797
163,5449
164,4399
165,3517
166,4662
167,5412
168,3457
168,6003
168,8331
169,1033
169,2272
169,2476
169,2524
169,2744
169,6335
169,6974
169,7268
169,7373
169,7587
169,8021
169,10776
170,7618
170,9472
170,9729
170,9773
170,10648
171,586
171,2353
171,6643
171,8878
171,8882
171,9093
172,6979
173,6969
173,7077
174,5828
174,10073
175,7702
176,3208
178,3034
179,732
179,2326
179,2599
179,2803
179,3029
179,3189
179,7332
180,4046
180,5955
180,10038
180,10176
181,3614
181,3669
181,5614
181,8595
182,4999
183,5546
184,7698
184,11326
185,3736
185,5078
185,5781
185,6191
185,8378
185,9578
185,10524
186,5190
186,9516
187,19
187,434
187,751
187,851
187,876
187,1043
187,1176
187,1278
187,2246
187,2376
187,2377
187,2471
187,2646
187,2888
187,3094
187,3626
187,3674
187,3815
187,4155
187,4327
187,5372
187,5457
187,5899
187,6041
187,6181
187,6418
187,6846
187,7548
187,9363
187,9543
188,6607
188,9135
188,9155
190,7316
190,8622
191,2795
191,3096
191,3395
191,3467
191,3632
191,4184
191,5778
191,7577
191,7801
191,8109
191,8174
192,5887
193,3354
193,5192
194,3545
194,4653
194,5400
194,9243
195,4131
196,4080
196,10429
197,5776
197,9391
198,5399
198,9317
199,3064
201,3037
201,3920
201,10523
202,5424
203,3584
203,3627
203,4630
203,5025
203,5239
203,8214
204,3128
204,5267
205,8202
205,8561
205,10132
207,4679
207,5708
207,9397
207,9969
208,3647
208,4644
209,2839
209,3231
209,4948
210,2277
210,6428
211,121
211,1113
211,1377
211,2441
211,4393
211,4395
211,8120
211,8172
212,3830
213,3684
214,2716
215,3101
215,3290
215,3580
215,4328
215,4503
215,4628
215,4669
215,5477
215,5524
215,5881
215,6197
215,6272
215,8360
215,9297
216,3555
217,7863
218,3079
219,8462
219,9418
220,6294
220,9466
221,7522
222,5887
223,6292
224,3387
225,3213
225,4614
225,4867
225,5834
225,5979
225,9704
225,10040
226,4775
227,6358
228,382
228,673
228,7807
228,10827
228,11108
229,5582
229,9617
230,4502
232,5765
233,3930
233,8532
233,9288
234,4078
235,8489
236,3287
237,5003
237,9931
237,10233
237,10282
238,6259
239,4172
239,5805
240,5086
240,5765
241,5857
241,9467
242,4929
243,3858
243,4510
243,6169
243,6389
243,9381
243,10301
243,10511
244,7959
245,4495
246,4548
246,5160
246,9322
246,9471
247,8273
248,6385
248,8541
249,3542
249,5648
250,3331
251,5265
251,9813
251,10405
252,5420
253,5130
254,4544
254,4996
254,5532
255,3628
256,3410
256,9526
257,8482
259,3663
259,5806
259,9321
260,4907
261,3403
261,5123
261,8249
261,9803
262,5907
263,2829
263,3121
263,3230
263,3291
263,3428
263,3578
263,3600
263,3656
263,4196
263,4214
263,4244
263,4253
263,4285
263,4351
263,4382
263,4570
263,4661
263,4672
263,4893
263,5394
263,5658
263,6796
263,6831
263,6915
263,6936
263,7538
263,7549
263,7571
263,7838
263,7860
263,7994
263,8028
263,8112
263,8670
263,9354
263,10243
264,2861
264,9968
264,10257
266,8193
266,8239
266,8386
266,8499
268,111
268,180
268,436
268,544
268,583
268,1274
268,1332
268,3731
268,7430
268,10934
268,11340
268,11599
269,2836
271,325
271,3011
271,3176
271,3337
271,4011
271,4627
271,4648
271,6245
271,6327
271,9271
271,9467
271,9901
271,10881
272,303
272,585
272,613
272,811
272,2605
272,3845
272,6106
272,6869
272,7227
272,8155
272,8401
272,9700
272,10012
272,10650
272,11009
272,11171
272,11434
273,2723
273,3532
273,4792
273,4972
273,9394
273,9777
276,6424
277,63
277,337
277,718
277,760
277,3871
277,4013
277,5646
277,8367
277,10478
277,10486
277,11433
278,8281
279,2736
279,2852
279,4288
279,5033
279,5598
279,7752
279,10505
279,10642
281,5041
282,2758
282,4896
282,5973
282,6713
283,3605
283,4110
283,7833
283,10253
283,10508
283,10714
283,10825
285,8588
286,5184
287,7235
287,7553
287,8150
288,5096
289,6649
290,5079
290,7757
292,4265
292,4268
292,4846
292,10847
293,4758
294,7559
295,180
295,314
295,662
295,3754
295,3976
295,8514
295,9441
296,2632
296,3593
296,4230
296,4306
296,4634
296,5325
297,249
297,1380
297,3143
297,3908
297,4571
297,4818
297,4827
297,4906
297,7837
297,8256
297,8605
297,9684
297,9844
297,10062
297,10582
297,10769
297,10790
297,10791
297,11210
297,11686
299,62
299,348
299,349
299,477
299,640
299,2655
299,2724
299,3147
299,4225
299,4319
299,4572
299,4670
299,5266
299,5935
299,7261
299,8097
299,9480
299,9592
299,10942
300,1053
300,7286
300,7316
300,8622
300,11506
301,2776
301,3074
301,3808
301,5084
301,7632
301,8629
302,3405
302,5695
302,8385
303,8579
304,309
304,3142
304,5424
304,5616
305,6591
305,6819
305,7038
305,7292
305,11259
305,11377
305,11466
306,5229
307,8364
307,10213
308,4485
309,3890
310,3620
310,3974
310,4884
310,4991
310,5250
310,5967
310,8304
310,9283
310,9568
310,10075
311,5723
311,5837
312,7338
314,8561
315,8204
315,8589
316,2732
316,2812
316,3412
316,3624
316,5304
316,9396
316,9538
317,4204
317,7840
318,3244
318,6126
318,9881
319,3781
319,10408
320,5592
321,5861
325,2528
325,2540
325,2766
325,4731
325,6074
325,6325
325,7581
325,7660
325,7769
325,8085
327,3394
328,3449
329,4748
330,2556
330,9353
330,11472
331,2959
332,3452
332,10018
332,10507
333,7512
335,1079
335,7303
336,4950
336,6037
337,2843
337,4553
338,5018
338,9295
339,3917
340,5314
341,2457
342,3193
343,3623
344,4120
344,5858
344,8557
345,5692
345,9870
346,5948
347,5971
348,3119
348,9368
350,3711
350,9655
353,3040
353,3384
353,4536
353,4694
354,4739
356,2822
356,8469
356,8484
356,8563
357,532
357,5097
357,11353
358,1322
358,5518
358,6671
360,7200
360,8132
360,10924
361,5083
362,8060
363,5925
364,7387
365,5724
366,4001
367,5162
368,4293
368,4364
368,9350
369,5877
370,3297
371,3062
371,4068
371,4803
371,9826
371,9915
372,4283
372,4592
374,3417
375,5960
376,3062
376,5035
376,5530
376,9826
377,2702
377,3685
377,4325
377,8453
377,9746
377,10494
378,8425
379,2921
379,4356
380,4299
381,4919
381,5746
382,3921
383,6369
384,156
384,3835
384,4854
384,7853
384,8540
384,10315
385,8539
385,10266
386,4060
386,4606
386,4767
386,4829
386,4859
386,5006
386,5082
387,6357
387,10199
388,3802
389,3198
390,5870
391,3594
391,4045
391,5952
392,6385
393,5389
394,5039
394,9979
395,6330
396,7789
397,4145
397,8491
398,880
398,5243
398,6241
398,8618
401,110
401,262
401,317
