InstID,ArticleID,AuthorID
3,2795,191
5,2796,489
494,2796,3953
2,2796,3953
13,2796,3953
588,2797,162
30,2797,1232
412,2798,4929
1,2799,1329
504,2799,1329
170,2799,1718
504,2799,1718
259,2799,1718
504,2799,4069
337,2799,4069
693,2800,3003
693,2800,3898
494,2801,3714
15,2801,3714
494,2801,4508
3,2801,4508
3,2802,2457
542,2802,2457
9,2802,5456
213,2803,179
4,2804,2868
14,2804,3219
16,2805,2039
304,2805,2039
13,2806,2436
617,2807,3666
23,2808,983
44,2809,2434
3,2810,3379
5,2810,3379
5,2810,5673
3,2810,5673
3,2811,1875
3,2811,5766
3,2812,316
4,2812,1983
13,2813,3188
13,2813,3978
11,2813,4518
425,2814,1714
340,2814,1714
14,2814,6041
617,2815,5669
101,2815,5669
495,2816,5963
652,2817,4095
1,2817,4095
1,2817,4844
494,2817,4844
101,2818,1179
617,2818,1179
101,2818,4010
617,2818,4010
22,2819,1467
200,2819,5898
25,2820,784
25,2820,2379
25,2820,5329
357,2821,565
396,2821,3605
21,2822,356
338,2822,4473
504,2822,4473
15,2822,4473
4,2823,882
4,2823,6507
1,2824,4479
17,2825,3744
578,2825,5254
2,2826,1059
3,2827,754
18,2828,734
40,2828,3830
2,2829,263
2,2829,1750
2,2829,4675
3,2829,4975
12,2830,2419
8,2831,5935
75,2832,434
156,2832,5144
463,2833,4650
15,2833,5131
412,2833,6140
38,2833,6140
269,2834,6259
257,2834,6259
22,2835,2995
51,2836,269
494,2836,269
51,2836,4690
341,2837,414
341,2837,1653
57,2838,2976
309,2838,2976
15,2838,5660
79,2839,209
65,2839,5356
98,2840,2788
153,2840,3068
98,2840,5725
494,2841,2820
617,2841,2820
3,2841,2820
2,2841,2916
494,2841,2916
169,2842,1442
17,2842,2361
494,2843,337
9,2843,337
494,2843,4142
9,2843,4142
86,2844,2485
49,2844,5671
44,2845,1942
596,2846,2674
5,2846,4080
175,2846,4408
494,2847,1233
2,2847,1233
2,2847,1484
494,2847,1484
2,2847,2380
494,2848,798
26,2848,798
1,2849,1133
1,2849,3137
44,2850,4659
150,2850,4817
21,2851,1332
494,2851,1332
24,2851,2198
17,2852,279
8,2852,2668
8,2852,3752
462,2852,4633
40,2853,4544
527,2854,572
501,2854,572
498,2854,572
264,2854,3105
3,2854,4322
157,2855,5113
457,2856,3115
457,2856,5952
33,2857,1021
26,2857,2950
28,2857,5837
672,2858,2721
712,2858,4998
14,2858,5457
712,2858,6294
242,2859,3044
25,2859,3901
236,2859,5326
242,2859,5444
1,2860,1133
4,2860,4956
217,2861,264
48,2861,4769
485,2861,4769
45,2861,5629
456,2862,6052
169,2863,7032
475,2864,3087
1,2864,3087
122,2865,1559
198,2865,4781
14,2866,1774
494,2866,1774
494,2866,3192
21,2866,3192
494,2867,1253
27,2867,1253
158,2867,5920
10,2868,1475
6,2869,2882
43,2869,3436
114,2870,985
249,2871,675
21,2871,842
265,2871,4602
10,2872,14
494,2872,14
1,2872,2940
494,2872,2940
337,2873,3453
67,2874,4902
57,2875,922
617,2875,3890
8,2876,3752
14,2877,4916
494,2878,961
2,2878,961
5,2879,1492
6,2880,2882
2,2881,4904
3,2882,754
115,2883,1188
449,2884,1779
130,2884,2296
3,2885,5289
5,2885,5289
169,2886,2867
208,2886,2867
617,2886,4255
101,2886,4255
617,2887,2813
14,2887,5556
494,2887,5556
46,2888,187
425,2888,6025
101,2889,501
494,2890,5672
5,2890,5672
336,2891,1664
252,2892,2218
15,2892,2218
477,2892,3083
252,2892,3083
8,2893,3442
101,2893,3442
617,2893,3442
8,2893,5660
15,2893,5660
8,2894,3247
101,2894,4010
16,2895,1422
8,2895,1807
175,2896,2906
175,2896,3662
617,2897,664
44,2897,664
44,2897,5841
99,2898,2002
76,2898,2481
76,2898,5067
62,2898,5474
128,2899,1414
46,2900,2574
513,2900,3393
48,2900,4865
16,2901,607
430,2901,3828
8,2901,3828
1,2902,1133
252,2902,1711
4,2903,470
540,2903,1525
412,2903,1525
4,2903,1888
43,2904,1177
43,2904,5793
34,2905,816
23,2905,824
45,2905,4740
169,2906,10
206,2906,1142
206,2906,4352
2,2907,1484
494,2907,1484
494,2907,1996
1,2907,1996
3,2908,1434
617,2909,1156
617,2909,2920
617,2910,3810
617,2910,5402
175,2911,899
175,2911,4673
494,2912,1870
8,2912,1870
504,2912,2443
172,2912,2443
263,2912,2443
2,2913,1399
3,2914,754
24,2915,5917
16,2916,1422
8,2916,1807
13,2917,1464
412,2917,1464
169,2917,4048
527,2918,572
501,2918,572
498,2918,572
3,2918,4322
674,2919,2702
617,2919,2820
3,2919,2820
494,2919,2820
257,2920,2077
5,2920,3427
18,2920,6066
10,2921,379
10,2921,4297
9,2922,422
11,2922,2006
15,2923,2673
48,2923,4197
15,2923,5131
5,2924,4441
19,2925,2400
94,2925,2400
94,2925,2507
68,2925,4001
504,2926,3306
338,2926,3306
4,2927,4386
252,2927,6007
623,2927,6007
3,2928,462
542,2928,462
17,2929,2361
588,2929,4721
213,2930,3509
213,2930,6021
3,2931,5953
3,2932,5147
527,2933,572
504,2933,572
498,2933,572
527,2933,6653
504,2933,6653
249,2933,6653
4,2934,470
4,2934,1715
4,2934,1888
217,2935,5829
199,2936,5378
32,2937,519
81,2938,1249
88,2938,4868
502,2939,3130
170,2939,3130
38,2939,5106
494,2939,5106
175,2940,4628
277,2940,5369
175,2940,5369
40,2941,657
3,2941,1291
494,2941,1291
171,2942,3253
21,2942,5489
14,2943,6253
8,2944,4718
8,2944,4826
29,2944,5431
20,2945,91
236,2946,5662
186,2946,5662
344,2946,6282
527,2947,2386
249,2947,2386
23,2947,5692
585,2948,5729
45,2948,5779
3,2949,3556
154,2950,1320
494,2950,3795
21,2950,3795
494,2950,5944
21,2950,5944
617,2951,2789
38,2951,5325
169,2952,4766
16,2952,4766
213,2953,2111
457,2953,5996
494,2954,754
3,2954,754
9,2954,6013
252,2954,6013
494,2954,6013
24,2955,2198
13,2956,1149
586,2957,1008
518,2957,1037
518,2957,3158
578,2957,3892
18,2957,3892
1,2958,2940
494,2958,2940
5,2959,331
13,2960,3298
