NberID,WPDate,Title,Abstract,Note
w0013,1973-10-01,Wage Comparisons---a Selectivity Bias,"The economics of information have been established by now as an integral part of economic analysis. However, surprisingly little has been written on the implications of search (and in particular, job search) for the estimation of the wage function and its ramifications in such cases as the estimation of the determinants of labor force participation, age-earning profiles, rates of return and rates of depreciation of human capital, degree of discrimination, etc. Given a wage offer distribution, the parameters of the observed wage distribution depend on the intensity of search. The lower a person's wage demands the greater the chance of his finding an acceptable job, but the lower the wage he expects to receive and the wider the dispersion of acceptable wages around their mean. On the other hand, the job seeker may opt for a more ambitious search strategy, raising his minimum wage demand and consequently increasing the risk of remaining unemployed, but also increasing the expected wage and decreasing the dispersion of available offers. Models of wage offer distribution have traditionally been based on empirical observation of observed wage distribution. This approach may involve certain biases when applied to secondary labor groups---married women, teenagers and the aged. This paper attempts to point out some of these biases and suggests a method for their correction.",
h0017,1990-10-01,Segregated Schools and the Mobility Hypothesis: A Model of Local Government Discrimination,"Around the turn of the century, Southern blacks lost the right to vote and discrimination against them by local government officials intensified. This paper argues that, in the case of the de jure segregated public schools attended by black children, the ability of Southern blacks to ""vote with their feet"" placed limits on local government discrimination.",
w0025,1973-12-01,The Covariance Structure of Earnings and the On the Job Training Hypothesis,"The fine structure of earnings is defined by a theoretically meaningful decomposition of the covariance matrix of earnings (or log earnings) time series. A three-element variance components model is proposed for analyzing earnings of young workers. These components are interpreted as the effects of differential on-the-job training (OJT) and differential economic ability. Several properties of these components and relationships between them are deduced from the OJT model. Background noise generated by a nonstationary first-order autoregressive process, with heteroscedastic innovations and time-varying AR parameters is also assumed present in observed earnings. ML estimates are obtained for all parameters of the model for a sample of Swedish males. The results are consistent with the view that the OJT mechanism is an empirically significant phenomenon in determining individual earnings profiles.",
w0042,1974-06-01,A Theory of Social Interactions,"This essay incorporates a general treatment of social interactions into the modern theory of consumer demand. Section 1 introduces the topic and explores some of the existing perspectives on social interactions and their importance in the basic structure of wants. In Section 2, various characteristics of different persons are assumed to affect the utility functions of some persons, and the behavioral implications are systematically explored. Section 3 develops further implications and applications in the context of analyzing intra-family relations, charitable behavior, merit goods and multi-persons interactions, and envy and hatred. The variety and significance of these applications is persuasive testimony not only to the importance of social interactions, but also to the feasibility of incorporating them into a rigorous analysis.",
w0055,1974-09-01,The Social Costs of Monopoly and Regulation,"When an industry is monopolized, price rises above and output falls below the competitive level. Those who continue to buy the product at the higher price suffer a loss, but this loss is exactly offset by the additional revenue that the monopolist obtains by charging the higher price. Other consumers, who are deflected by the higher price to substitute goods, suffer a loss, that is not offset by gains to the monopolist. This is the ""deadweight loss"" from monopoly, and in conventional analysis the only social cost of monopoly. The loss suffered by those who continue to buy the product at the higher cost is regarded merely as a transfer from consumers to owners of the monopoly seller and has not previously been factored into the social costs of monopoly. However, the existence of an opportunity to obtain monopoly profits will attract resources into efforts to obtain monopolies, and the opportunity costs of those resources are social costs of monopoly, too. Although the tendency of monopoly rents to be transformed into costs is no longer a novel insight, its implications both for the measurement of the aggregate social costs of monopoly and for a variety of other important issues relating to monopoly and public regulation (including tax policy) continue to be ignored. The present paper is an effort to rectify this neglect. Part I introduces the material. Part II presents a simple model of the social costs of monopoly, conceived as the sum of the deadweight loss and the additional loss resulting from the competition to become a monopolist. Part III uses the model to estimate the social costs of monopoly in the United States, and the social benefits of antitrust enforcement. Part IV explores the implications of the analysis for a variety of issues relating to monopoly and public regulation, such as public policy toward price discrimination and the choice between income and excise taxation.",
w0060,1974-10-01,The Variances of Regression Coefficient Estimates Using Aggregate Data,This paper considers the effect of aggregation on the variance of parameter estimates for a linear regression model with random coefficients and an additive error term. Aggregate and microvariances are compared and measures of relative efficiency are introduced. Necessary conditions for efficient aggregation procedures are obtained from the Theil aggregation weights and from measures of synchronization related to the work of Grunfeld and Griliches.,
w0067,1975-01-01,Human Capital and Labor Supply: A Synthesis,"It is by now widely recognized that investment decisions play a major role in the determination of individual age-earnings profiles. The purpose of this paper is to present a simple life-cycle model of investment in human capital in which leisure choices are explicitly incorporated. In so doing, we integrate two previously disparate branches of life-cycle theory: models of labor supply with exogenous wages, and models of human capital formation with exogenous leisure. Of course, to accomplish this, we must posit utility maximization as the individual's goal rather than income maximization.",
w0088,1975-05-01,"Three-and-a-Half Million U.S. Employees Have Been Mislaid: Or, an Explanation of Unemployment, 1934-1941","A major conceptual error in the standard BLS and Lebergott unemployment estimates for 1933--1943 is reported. Emergency workers (employees of federal contracyclical programs such as WPA) were counted as unemployed on a normal-jobs-to-be-created instead of job-seekers unemployment definition. For 1934--1941, the corrected unemployment levels are reduced by two to three-and-a half million people and the rates by 4 to 7 percentage points. The corrected data show strong movement toward the natural unemployment rate after 1933 and are very well explained by an anticipations-search model using annual full-time earnings.",
w0090,1975-06-01,The Maximum Likelihood and the Nonlinear Three-Stage Least Squares Estimator in the General Nonlinear Simultaneous Equation Model,"The consistency and the asymptotic normality of the maximum likelihood estimator in the general nonlinear simultaneous equation model are proved. It is shown that the proof depends on the assumption of normality unlike in the linear simultaneous equation model. It is proved that the maximum likelihood estimator is asymptotically more efficient than the nonlinear three-stage least squares estimator if the specification is correct. However, the latter has the advantage of being consistent even when the normality assumption is removed. Hausman's instrumental-variable-interpretation of the maximum likelihood estimator is extended to the general nonlinear simultaneous equation model.",
w0099,1975-07-01,"The Earnings of Scientists, 1960-1970: Experience, Age and Vintage Effects",The purpose of this study is to present a simple but explicit model of on-the-job training which may enable us to separate and identify various types of vintage effects. An attempt is made to apply the model to the data on the earnings of American scientists in the period 1960--1970.,Excluded. Linked to 6970 on NBER.org. w0099 written only by Weiss; 6970 by Weiss and Lillard. w0099 appears to be an early version of 6970; it is not listed on Weiss's CV (November 2014).
