ArticleID,Journal,Volume,Issue,Part
1,ECA,66,6,1
2,ECA,66,6,1
3,ECA,66,6,1
4,ECA,66,6,1
5,ECA,66,6,1
6,ECA,66,6,1
7,ECA,66,5,1
8,ECA,66,5,1
9,ECA,66,5,1
10,ECA,66,5,1
11,ECA,66,5,1
12,ECA,66,4,1
13,ECA,66,4,1
14,ECA,66,4,1
15,ECA,66,4,1
16,ECA,66,4,1
17,ECA,66,3,1
18,ECA,66,3,1
19,ECA,66,3,1
20,ECA,66,3,1
21,ECA,66,3,1
22,ECA,66,3,1
23,ECA,66,3,1
24,ECA,66,2,1
25,ECA,66,2,1
26,ECA,66,2,1
27,ECA,66,2,1
28,ECA,66,2,1
29,ECA,66,2,1
30,ECA,66,2,1
31,ECA,66,2,1
32,ECA,66,1,1
33,ECA,66,1,1
34,ECA,66,1,1
35,ECA,66,1,1
36,ECA,66,1,1
37,ECA,65,6,1
38,ECA,65,6,1
39,ECA,65,6,1
40,ECA,65,6,1
41,ECA,65,6,1
42,ECA,65,6,1
43,ECA,65,6,1
44,ECA,65,5,1
45,ECA,65,5,1
46,ECA,65,5,1
47,ECA,65,5,1
48,ECA,65,5,1
49,ECA,65,5,1
50,ECA,65,5,1
51,ECA,65,4,1
52,ECA,65,4,1
53,ECA,65,4,1
54,ECA,65,4,1
55,ECA,65,4,1
56,ECA,65,4,1
57,ECA,65,4,1
58,ECA,65,3,1
59,ECA,65,3,1
60,ECA,65,3,1
61,ECA,65,3,1
62,ECA,65,3,1
63,ECA,65,3,1
64,ECA,65,3,1
65,ECA,65,2,1
66,ECA,65,2,1
67,ECA,65,2,1
68,ECA,65,2,1
69,ECA,65,1,1
70,ECA,65,1,1
71,ECA,65,1,1
72,ECA,65,1,1
73,ECA,65,1,1
74,ECA,65,1,1
75,ECA,64,6,1
76,ECA,64,6,1
77,ECA,64,6,1
78,ECA,64,6,1
79,ECA,64,6,1
80,ECA,64,6,1
81,ECA,64,6,1
82,ECA,64,6,1
83,ECA,64,6,1
84,ECA,64,5,1
85,ECA,64,5,1
86,ECA,64,5,1
87,ECA,64,5,1
88,ECA,64,5,1
89,ECA,64,5,1
90,ECA,64,5,1
91,ECA,64,5,1
92,ECA,64,5,1
93,ECA,64,4,1
94,ECA,64,4,1
95,ECA,64,4,1
96,ECA,64,4,1
97,ECA,64,4,1
98,ECA,64,4,1
99,ECA,64,4,1
100,ECA,64,4,1
101,ECA,64,3,1
102,ECA,64,3,1
103,ECA,64,3,1
104,ECA,64,3,1
105,ECA,64,3,1
106,ECA,64,3,1
107,ECA,64,2,1
108,ECA,64,2,1
109,ECA,64,2,1
110,ECA,64,2,1
111,ECA,64,2,1
112,ECA,64,2,1
113,ECA,64,2,1
114,ECA,64,1,1
115,ECA,64,1,1
116,ECA,64,1,1
117,ECA,64,1,1
118,ECA,64,1,1
119,ECA,64,1,1
120,ECA,64,1,1
121,ECA,63,6,1
122,ECA,63,6,1
123,ECA,63,6,1
124,ECA,63,6,1
125,ECA,63,6,1
126,ECA,63,6,1
127,ECA,63,6,1
128,ECA,63,6,1
129,ECA,63,6,1
130,ECA,63,5,1
131,ECA,63,5,1
132,ECA,63,5,1
133,ECA,63,5,1
134,ECA,63,5,1
135,ECA,63,5,1
136,ECA,63,5,1
137,ECA,63,4,1
138,ECA,63,4,1
139,ECA,63,4,1
140,ECA,63,4,1
141,ECA,63,4,1
142,ECA,63,4,1
143,ECA,63,4,1
144,ECA,63,3,1
145,ECA,63,3,1
146,ECA,63,3,1
147,ECA,63,3,1
148,ECA,63,3,1
149,ECA,63,3,1
150,ECA,63,3,1
151,ECA,63,3,1
152,ECA,63,2,1
153,ECA,63,2,1
154,ECA,63,2,1
155,ECA,63,2,1
156,ECA,63,2,1
157,ECA,63,2,1
158,ECA,63,1,1
159,ECA,63,1,1
160,ECA,63,1,1
161,ECA,63,1,1
162,ECA,63,1,1
163,ECA,63,1,1
164,ECA,63,1,1
165,ECA,62,6,1
166,ECA,62,6,1
167,ECA,62,6,1
168,ECA,62,6,1
169,ECA,62,6,1
170,ECA,62,6,1
171,ECA,62,5,1
172,ECA,62,5,1
173,ECA,62,5,1
174,ECA,62,5,1
175,ECA,62,5,1
176,ECA,62,5,1
177,ECA,62,5,1
178,ECA,62,5,1
179,ECA,62,5,1
180,ECA,62,4,1
181,ECA,62,4,1
182,ECA,62,4,1
183,ECA,62,4,1
184,ECA,62,4,1
185,ECA,62,4,1
186,ECA,62,4,1
187,ECA,62,3,1
188,ECA,62,3,1
189,ECA,62,3,1
190,ECA,62,3,1
191,ECA,62,3,1
192,ECA,62,2,1
193,ECA,62,2,1
194,ECA,62,2,1
195,ECA,62,2,1
196,ECA,62,2,1
197,ECA,62,2,1
198,ECA,62,1,1
199,ECA,62,1,1
200,ECA,62,1,1
201,ECA,62,1,1
202,ECA,62,1,1
203,ECA,62,1,1
204,ECA,61,6,1
205,ECA,61,6,1
206,ECA,61,6,1
207,ECA,61,6,1
208,ECA,61,6,1
209,ECA,61,6,1
210,ECA,61,6,1
211,ECA,61,5,1
212,ECA,61,5,1
213,ECA,61,5,1
214,ECA,61,5,1
215,ECA,61,5,1
216,ECA,61,5,1
217,ECA,61,5,1
218,ECA,61,5,1
219,ECA,61,4,1
220,ECA,61,4,1
221,ECA,61,4,1
222,ECA,61,4,1
223,ECA,61,4,1
224,ECA,61,4,1
225,ECA,61,4,1
226,ECA,61,3,1
227,ECA,61,3,1
228,ECA,61,3,1
229,ECA,61,3,1
230,ECA,61,3,1
231,ECA,61,3,1
232,ECA,61,3,1
233,ECA,61,3,1
234,ECA,61,2,1
235,ECA,61,2,1
236,ECA,61,2,1
237,ECA,61,2,1
238,ECA,61,2,1
239,ECA,61,2,1
240,ECA,61,1,1
241,ECA,61,1,1
242,ECA,61,1,1
243,ECA,61,1,1
244,ECA,61,1,1
245,ECA,61,1,1
246,ECA,61,1,1
247,ECA,60,6,1
248,ECA,60,6,1
249,ECA,60,6,1
250,ECA,60,6,1
251,ECA,60,6,1
252,ECA,60,6,1
253,ECA,60,6,1
254,ECA,60,6,1
255,ECA,60,5,1
256,ECA,60,5,1
257,ECA,60,5,1
258,ECA,60,5,1
259,ECA,60,5,1
260,ECA,60,5,1
261,ECA,60,5,1
262,ECA,60,5,1
263,ECA,60,5,1
264,ECA,60,5,1
265,ECA,60,4,1
266,ECA,60,4,1
267,ECA,60,4,1
268,ECA,60,4,1
269,ECA,60,4,1
270,ECA,60,4,1
271,ECA,60,4,1
272,ECA,60,4,1
273,ECA,60,4,1
274,ECA,60,3,1
275,ECA,60,3,1
276,ECA,60,3,1
277,ECA,60,3,1
278,ECA,60,3,1
279,ECA,60,3,1
280,ECA,60,3,1
281,ECA,60,2,1
282,ECA,60,2,1
283,ECA,60,2,1
284,ECA,60,2,1
285,ECA,60,2,1
286,ECA,60,2,1
287,ECA,60,1,1
288,ECA,60,1,1
289,ECA,60,1,1
290,ECA,60,1,1
291,ECA,60,1,1
292,ECA,60,1,1
293,ECA,60,1,1
294,ECA,60,1,1
295,ECA,59,6,1
296,ECA,59,6,1
297,ECA,59,6,1
298,ECA,59,6,1
299,ECA,59,6,1
300,ECA,59,6,1
301,ECA,59,6,1
302,ECA,59,6,1
303,ECA,59,6,1
304,ECA,59,6,1
305,ECA,59,6,1
306,ECA,59,6,1
307,ECA,59,5,1
308,ECA,59,5,1
309,ECA,59,5,1
310,ECA,59,5,1
311,ECA,59,5,1
312,ECA,59,5,1
313,ECA,59,5,1
314,ECA,59,5,1
315,ECA,59,5,1
316,ECA,59,5,1
317,ECA,59,4,1
318,ECA,59,4,1
319,ECA,59,4,1
320,ECA,59,4,1
321,ECA,59,4,1
322,ECA,59,4,1
323,ECA,59,4,1
324,ECA,59,4,1
325,ECA,59,4,1
326,ECA,59,4,1
327,ECA,59,4,1
328,ECA,59,4,1
329,ECA,59,3,1
330,ECA,59,3,1
331,ECA,59,3,1
332,ECA,59,3,1
333,ECA,59,3,1
334,ECA,59,3,1
335,ECA,59,3,1
336,ECA,59,3,1
337,ECA,59,3,1
338,ECA,59,3,1
339,ECA,59,2,1
340,ECA,59,2,1
341,ECA,59,2,1
342,ECA,59,2,1
343,ECA,59,2,1
344,ECA,59,2,1
345,ECA,59,2,1
346,ECA,59,2,1
347,ECA,59,2,1
348,ECA,59,1,1
349,ECA,59,1,1
350,ECA,59,1,1
351,ECA,59,1,1
352,ECA,59,1,1
353,ECA,59,1,1
354,ECA,59,1,1
355,ECA,59,1,1
356,ECA,59,1,1
357,ECA,59,1,1
358,ECA,58,6,1
359,ECA,58,6,1
360,ECA,58,6,1
361,ECA,58,6,1
362,ECA,58,6,1
363,ECA,58,6,1
364,ECA,58,6,1
365,ECA,58,6,1
366,ECA,58,5,1
367,ECA,58,5,1
368,ECA,58,5,1
369,ECA,58,5,1
