ArticleID,AuthorID,Journal,FirstPage,PubDate,Female
4766,1,AER,792,2003-06-01,1
2526,2,AER,43,1993-03-01,0
7406,2,QJE,441,1988-08-01,0
8581,3,ECA,2369,2012-11-01,0
10194,3,RES,608,2014-04-01,0
4384,4,QJE,305,1997-02-01,0
11135,4,RES,85,1988-01-01,0
5022,5,AER,1913,2010-09-01,0
2714,6,AER,1057,1996-12-01,0
8532,7,ECA,1721,2012-07-01,0
5872,8,P&P,272,2014-05-01,0
7343,8,QJE,493,1980-11-01,0
9666,8,QJE,839,1985-01-01,0
11512,8,RES,217,1976-06-01,0
11641,8,RES,561,1977-10-01,0
76,9,ECA,1263,1996-11-01,0
140,9,ECA,841,1995-07-01,0
418,9,ECA,1027,1989-09-01,0
593,9,ECA,755,1986-07-01,0
3103,9,JPE,68,2004-02-01,0
3585,9,QJE,1611,2012-11-01,0
3776,9,ECA,1261,2001-09-01,0
4774,9,AER,1578,2003-12-01,0
5226,9,AER,1707,2011-08-01,0
5786,9,AER,3841,2014-12-01,0
5859,9,P&P,200,2014-05-01,0
6028,9,AER,400,1999-06-01,0
8329,9,ECA,315,2015-01-01,0
8430,9,ECA,1783,2010-11-01,0
8702,9,JPE,390,1985-04-01,0
10575,9,RES,613,2004-07-01,0
10600,9,RES,53,1995-01-01,0
11307,9,RES,385,1981-07-01,0
11460,9,RES,243,1984-04-01,0
2906,10,JPE,862,1997-08-01,0
1059,11,ECA,1321,1979-11-01,0
6881,11,JPE,293,1979-04-01,0
5900,12,P&P,431,2014-05-01,0
16,13,ECA,897,1998-07-01,0
2681,13,AER,478,1996-06-01,0
3219,13,JPE,931,2006-10-01,0
2872,14,JPE,1249,1999-12-01,0
8134,14,QJE,909,1995-11-01,0
4563,15,QJE,359,2008-02-01,0
6022,15,AER,22,1999-03-01,0
7840,15,JPE,1208,1992-12-01,0
10585,15,RES,883,2004-07-01,0
3568,17,QJE,829,2012-05-01,0
4185,17,QJE,1137,2000-11-01,0
6608,19,JPE,1153,1973-09-01,0
6766,19,JPE,701,1976-08-01,0
4868,20,AER,66,2005-03-01,0
5813,21,AER,1047,2014-03-01,0
2770,23,AER,940,1997-12-01,0
2965,24,JPE,138,2001-02-01,0
3017,24,JPE,239,2002-04-01,0
4179,24,QJE,989,2000-08-01,0
4200,24,QJE,1289,1997-11-01,0
4229,24,QJE,189,2001-02-01,0
4490,24,QJE,1359,1999-11-01,0
4529,24,QJE,1235,2007-08-01,0
4891,24,AER,1190,2005-09-01,0
5430,24,AER,1206,2012-06-01,0
5875,24,P&P,291,2014-05-01,0
5916,24,P&P,514,2014-05-01,0
7546,24,QJE,797,1992-08-01,0
7625,24,QJE,491,1994-05-01,0
7833,24,JPE,274,1993-04-01,0
8181,24,QJE,955,1996-11-01,0
10193,24,RES,572,2014-04-01,0
10551,24,RES,19,2004-01-01,0
10714,24,RES,631,1998-10-01,0
10825,24,RES,211,1991-04-01,0
10918,24,RES,309,1993-04-01,0
5794,25,AER,4147,2014-12-01,1
3675,26,ECA,45,1999-01-01,0
4075,26,ECA,1603,2006-11-01,0
11438,26,RES,677,1983-10-01,0
2199,27,AER,342,1987-06-01,0
9143,27,JPE,655,1967-10-01,0
4908,28,AER,1712,2005-12-01,0
5089,28,P&P,115,2011-05-01,0
2339,29,AER,984,1986-12-01,0
2361,29,AER,957,1989-12-01,0
2402,29,AER,337,1990-06-01,0
4479,29,QJE,941,1999-08-01,0
7570,29,QJE,577,1993-08-01,0
134,30,ECA,1161,1995-09-01,0
350,30,ECA,61,1991-01-01,0
351,30,ECA,81,1991-01-01,0
518,30,ECA,1391,1987-11-01,0
4131,30,ECA,307,2008-03-01,0
5160,31,P&P,471,2011-05-01,0
3298,32,JPE,1,2009-02-01,0
3604,33,QJE,917,2013-05-01,0
6384,34,AER,1145,2009-09-01,0
5646,35,P&P,557,2013-05-01,0
8496,35,ECA,667,2013-03-01,0
5607,36,P&P,356,2013-05-01,0
5102,37,P&P,194,2011-05-01,0
5324,37,AER,994,2012-04-01,0
10264,37,RES,1263,2016-07-01,0
3599,38,QJE,53,2013-02-01,0
4523,38,QJE,831,2007-05-01,0
4625,38,QJE,1307,2009-08-01,0
5744,38,AER,149,2014-01-01,0
9525,38,AER,3660,2015-12-01,0
2670,39,AER,532,1995-06-01,0
6335,40,AER,2203,2008-12-01,0
4079,41,ECA,1715,2006-11-01,0
5243,42,AER,2226,2011-08-01,0
8350,43,ECA,1375,2010-07-01,0
4024,44,ECA,1939,2005-11-01,0
5458,45,AER,2048,2012-08-01,1
4077,46,ECA,1675,2006-11-01,1
4341,46,QJE,1091,2004-08-01,1
4604,46,QJE,349,2009-02-01,1
9707,46,RES,189,2005-01-01,1
6246,47,AER,89,2007-03-01,0
9602,47,AER,3477,2011-12-01,0
5357,48,P&P,283,2012-05-01,1
5626,48,P&P,456,2013-05-01,1
3683,49,ECA,393,1999-02-01,0
3747,49,ECA,163,2001-01-01,0
4158,49,QJE,285,2000-02-01,0
4321,50,QJE,1075,2003-08-01,1
6431,50,AER,2209,2009-12-01,1
10467,50,RES,757,2001-10-01,1
5610,51,P&P,375,2013-05-01,0
8216,51,ECA,1671,2014-09-01,0
10293,51,RES,464,2017-01-01,0
5356,52,P&P,278,2012-05-01,0
4058,53,ECA,1109,2006-07-01,1
8493,54,ECA,705,2014-03-01,0
9932,54,RES,245,2010-01-01,0
4420,55,QJE,187,1998-02-01,1
7059,55,JPE,1035,1982-10-01,1
6308,56,AER,1578,2008-09-01,0
6152,57,AER,1329,2001-12-01,0
4350,58,QJE,1301,2004-11-01,0
6391,59,AER,1335,2009-09-01,0
2966,60,JPE,79,2001-02-01,0
5407,61,P&P,532,2012-05-01,0
5596,61,P&P,293,2013-05-01,0
7954,62,JPE,574,1990-06-01,0
6013,64,AER,860,2015-02-01,0
10164,64,RES,1289,2015-10-01,0
3671,65,QJE,1995,2014-11-01,0
5685,65,AER,1529,2013-06-01,0
496,67,ECA,259,1988-03-01,0
2594,67,AER,1157,1994-12-01,0
2634,67,AER,772,1994-09-01,0
3120,67,JPE,253,2004-04-01,0
4251,67,QJE,1491,2002-11-01,0
4449,67,QJE,1169,1998-11-01,0
4466,67,QJE,497,1999-05-01,0
5420,67,P&P,594,2012-05-01,0
7519,67,QJE,151,1992-02-01,0
