ArticleID,Journal,FirstPage,PubDate
1,ECA,1241,1998-11-01
2,ECA,1279,1998-11-01
3,ECA,1299,1998-11-01
4,ECA,1327,1998-11-01
5,ECA,1353,1998-11-01
6,ECA,1389,1998-11-01
7,ECA,1017,1998-09-01
8,ECA,1099,1998-09-01
9,ECA,1127,1998-09-01
10,ECA,1163,1998-09-01
11,ECA,1183,1998-09-01
12,ECA,741,1998-07-01
13,ECA,783,1998-07-01
14,ECA,827,1998-07-01
15,ECA,863,1998-07-01
16,ECA,897,1998-07-01
17,ECA,497,1998-05-01
18,ECA,529,1998-05-01
19,ECA,569,1998-05-01
20,ECA,597,1998-05-01
21,ECA,627,1998-05-01
22,ECA,653,1998-05-01
23,ECA,673,1998-05-01
24,ECA,249,1998-03-01
25,ECA,289,1998-03-01
26,ECA,315,1998-03-01
27,ECA,333,1998-03-01
28,ECA,359,1998-03-01
29,ECA,381,1998-03-01
30,ECA,409,1998-03-01
31,ECA,427,1998-03-01
32,ECA,1,1998-01-01
33,ECA,47,1998-01-01
34,ECA,79,1998-01-01
35,ECA,105,1998-01-01
36,ECA,123,1998-01-01
37,ECA,1247,1997-11-01
38,ECA,1283,1997-11-01
39,ECA,1311,1997-11-01
40,ECA,1335,1997-11-01
41,ECA,1365,1997-11-01
42,ECA,1389,1997-11-01
43,ECA,1421,1997-11-01
44,ECA,1005,1997-09-01
45,ECA,1029,1997-09-01
46,ECA,1059,1997-09-01
47,ECA,1097,1997-09-01
48,ECA,1129,1997-09-01
49,ECA,1153,1997-09-01
50,ECA,1175,1997-09-01
51,ECA,745,1997-07-01
52,ECA,781,1997-07-01
53,ECA,833,1997-07-01
54,ECA,861,1997-07-01
55,ECA,875,1997-07-01
56,ECA,913,1997-07-01
57,ECA,933,1997-07-01
58,ECA,487,1997-05-01
59,ECA,517,1997-05-01
60,ECA,557,1997-05-01
61,ECA,587,1997-05-01
62,ECA,601,1997-05-01
63,ECA,627,1997-05-01
64,ECA,647,1997-05-01
65,ECA,225,1997-03-01
66,ECA,275,1997-03-01
67,ECA,311,1997-03-01
68,ECA,347,1997-03-01
69,ECA,1,1997-01-01
70,ECA,19,1997-01-01
71,ECA,59,1997-01-01
72,ECA,75,1997-01-01
73,ECA,103,1997-01-01
74,ECA,133,1997-01-01
75,ECA,1249,1996-11-01
76,ECA,1263,1996-11-01
77,ECA,1299,1996-11-01
78,ECA,1311,1996-11-01
79,ECA,1343,1996-11-01
80,ECA,1375,1996-11-01
81,ECA,1395,1996-11-01
82,ECA,1415,1996-11-01
83,ECA,1439,1996-11-01
84,ECA,1001,1996-09-01
85,ECA,1045,1996-09-01
86,ECA,1067,1996-09-01
87,ECA,1085,1996-09-01
88,ECA,1109,1996-09-01
