ArticleID,Journal,Volume,Issue,FirstPage,PubDate,CiteCount,LastPage,Year
1,ECA,66,6,1241,1998-11-01,300.0,1278,1998
2,ECA,66,6,1279,1998-11-01,189.0,1298,1998
3,ECA,66,6,1299,1998-11-01,62.0,1325,1998
4,ECA,66,6,1327,1998-11-01,58.0,1351,1998
5,ECA,66,6,1353,1998-11-01,11.0,1388,1998
6,ECA,66,6,1389,1998-11-01,52.0,1404,1998
7,ECA,66,5,1017,1998-09-01,665.0,1098,1998
8,ECA,66,5,1099,1998-09-01,74.0,1125,1998
9,ECA,66,5,1127,1998-09-01,519.0,1162,1998
10,ECA,66,5,1163,1998-09-01,24.0,1182,1998
11,ECA,66,5,1183,1998-09-01,90.0,1221,1998
12,ECA,66,4,741,1998-07-01,90.0,781,1998
13,ECA,66,4,783,1998-07-01,183.0,826,1998
14,ECA,66,4,827,1998-07-01,158.0,861,1998
15,ECA,66,4,863,1998-07-01,98.0,896,1998
16,ECA,66,4,897,1998-07-01,10.0,922,1998
17,ECA,66,3,497,1998-05-01,517.0,527,1998
18,ECA,66,3,529,1998-05-01,57.0,567,1998
19,ECA,66,3,569,1998-05-01,207.0,596,1998
20,ECA,66,3,597,1998-05-01,89.0,626,1998
21,ECA,66,3,627,1998-05-01,0.0,652,1998
22,ECA,66,3,653,1998-05-01,85.0,671,1998
23,ECA,66,3,673,1998-05-01,6.0,688,1998
24,ECA,66,2,249,1998-03-01,188.0,288,1998
25,ECA,66,2,289,1998-03-01,82.0,314,1998
26,ECA,66,2,315,1998-03-01,212.0,331,1998
27,ECA,66,2,333,1998-03-01,163.0,357,1998
28,ECA,66,2,359,1998-03-01,29.0,380,1998
29,ECA,66,2,381,1998-03-01,15.0,408,1998
30,ECA,66,2,409,1998-03-01,49.0,426,1998
31,ECA,66,2,427,1998-03-01,20.0,451,1998
32,ECA,66,1,1,1998-01-01,64.0,45,1998
33,ECA,66,1,47,1998-01-01,1454.0,78,1998
34,ECA,66,1,79,1998-01-01,30.0,104,1998
35,ECA,66,1,105,1998-01-01,42.0,121,1998
36,ECA,66,1,123,1998-01-01,137.0,148,1998
37,ECA,65,6,1247,1997-11-01,60.0,1281,1997
38,ECA,65,6,1283,1997-11-01,85.0,1309,1997
39,ECA,65,6,1311,1997-11-01,108.0,1334,1997
40,ECA,65,6,1335,1997-11-01,136.0,1364,1997
41,ECA,65,6,1365,1997-11-01,152.0,1387,1997
42,ECA,65,6,1389,1997-11-01,257.0,1419,1997
43,ECA,65,6,1421,1997-11-01,13.0,1442,1997
44,ECA,65,5,1005,1997-09-01,365.0,1027,1997
45,ECA,65,5,1029,1997-09-01,192.0,1058,1997
46,ECA,65,5,1059,1997-09-01,598.0,1095,1997
47,ECA,65,5,1097,1997-09-01,107.0,1128,1997
