AuthorID,AuthorName
1,A. Abigail Payne
2,A. Andrew John
3,A. Belloni
4,A. Colin Cameron
5,A. Joshua Strickland
6,A. Lans Bovenberg
7,A. M. Robert Taylor
8,A. Michael Spence
9,Ariel Pakes
10,A. Robert Nobay
11,Aanund Hylland
12,Aaron Roth
13,Aaron S. Edlin
14,Aaron S. Yelowitz
15,Aarón Tornell
17,Aart Kraay
19,Aba Schwartz
20,Abdul Abiad
21,Abel Winn
23,Abhijit Sengupta
24,Abhijit V. Banerjee
25,Abi Adams
26,Abraham Neyman
27,Abram Bergson
28,Adam Ashcraft
29,Adam B. Jaffe
30,Adam Brandenburger
31,Adam Guren
32,Adam Hale Shapiro
33,Adam Kalai
34,Adam Looney
35,Adam M. Rosen
36,Adam Ray
37,Adam Storeygard
38,Adam Szeidl
39,Adam Wantz
40,Adi Brender
41,Adib Bagh
42,Adriaan Soetevent
43,Adrian Bruhin
44,Adrian Peralta-Alva
45,Adriana D. Kugler
46,Adriana Lleras-Muney
47,Adrien Verdelhan
48,Adrienne M. Lucas
49,Ady Pauzner
50,Agar Brugiavini
51,Ahmed Mushfiq Mobarak
52,Ahmed S. Rahman
53,Ahuva Mu'alem
54,Aico van Vuuren
55,Ailsa Röell
56,Ajay Agrawal
57,Ajeyo Banerjee
58,Akhmed Akhmedov
59,Akira Okada
60,Akram Temimi
61,Akwasi Nti-Addae
62,Al H. Ringleb
64,Alain Cohn
65,Alain Trannoy
67,Alan B. Krueger
69,Alan Beggs
70,Alan C. Stockman
71,Alan Harrison
72,Alan Heston
73,Alan I. Barreca
74,Alan J. Auerbach
75,Alan J. Marcus
76,Alan K. Fox
79,Alan L. Gustman
80,Alan L. Olmstead
81,Alan M. Taylor
82,Alan Manning
83,Alan Mathios
84,Alan Morrison
85,Alan R. Rogers
86,Alan S. Blinder
87,Alan S. Frankel
88,Alan Schwartz
89,Alan Slivinski
91,Alan T. Sorensen
92,Alan V. Deardorff
93,Albert Breton
94,Albert Marcet
95,Albert N. Link
96,Albert Saiz
97,Alberto Abadie
98,Alberto Alesina
99,Alberto Bennardo
100,Alberto Bisin
101,Alberto Cavallo
102,Alberto Dávila
103,Alberto F. Ades
104,Alberto Giovannini
105,Alberto Martin
106,Alberto Trejos
107,Aldo Rustichini
108,Aleh Tsyvinski
109,Alejandro Hernández D.
110,Alejandro Jofre
111,Alejandro Justiniano
112,Alejandro M. Manelli
113,Aleksander Berentsen
114,Alessandra Casella
115,Alessandra Fogli
116,Alessandra Voena
117,Alessandro Bonatti
118,Alessandro Citanna
119,Alessandro Gavazza
120,Alessandro Lizzeri
121,Alessandro Pavan
122,Alessandro Riboni
123,Alessandro Tarozzi
124,Alex A. Himonas
125,Alex Cukierman
126,Alex Gershkov
127,Alex R. Horenstein
128,Alex Rees-Jones
129,Alex Tabarrok
130,Alexander David
131,Alexander F. Wagner
132,Alexander Frankel
133,Alexander Galetovic
134,Alexander Karaivanov
135,Alexander Klein
136,Alexander L. Brown
137,Alexander L. Wolman
138,Alexander Ljungqvist
139,Alexander Ludwig
140,Alexander Monge-Naranjo
141,Alexander S. Gorbenko
142,Alexander Strand
143,Alexander W. Cappelen
144,Alexander Westkamp
145,Alexander Wolitzky
146,Alexandra Killewald
147,Alexandre Mas
148,Alexandre K. Skiba
149,Alexandru Nichifor
150,Alexei Onatski
151,Alexey Kushnir
152,Alexis Jacquemin
153,Alfonso Flores-Lagunes
154,Alfonso Irarrazabal
155,Alfred Galichon
156,Ali Hortaçsu
157,Ali Shourideh
158,Ali Yurukoglu
159,Alicia H. Munnell
160,Alireza Tahbaz-Salehi
161,Alisdair McKay
162,Alison P. Hagy
163,Alistair J. Wilson
164,Alistair Munro
165,Alix Peterson Zwane
166,Alla Lileeva
167,Allan A. Zebedee
168,Allan Collard-Wexler
169,Allan Drazen
170,Allan G. Timmermann
171,Allan H. Meltzer
172,Allan W. Kleidon
173,Allan Zelenitz
174,Allen Head
175,Allen N. Berger
176,Allen R. Sanderson
178,Alon Brav
179,Aloysius Siow
180,Alp E. Atakan
181,Alp Simsek
182,Alpo Willman
183,Alvaro J. Name-Correa
184,Alvaro Rodriguez
185,Alvaro Sandroni
186,Alvin D. Murphy
187,Alvin E. Roth
188,Alvin L. Marty
190,Alvin Ulrich
191,Alwyn Young
192,Alícia Adserà
193,Amalia R. Miller
194,Amanda E. Kowalski
195,Amanda Friedenberg
196,Amanda Gosling
197,Amanda Pallais
198,Amanda Starc
199,Amartya Lahiri
201,Amil Petrin
202,Amir E. Khandani
203,Amir Sufi
204,Amir Yaron
205,Amit Gandhi
207,Amit Kumar Khandelwal
208,Amit Seru
209,Amitabh Chandra
210,Amnon Rapoport
211,Amos Tversky
212,Amparo Urbano
213,Amrita Dhillon
214,Amy Ellen Schwartz
215,Amy Finkelstein
216,Amy K. Dittmar
217,Amy L. Bertin
218,Ana Castañeda
219,Ana Cecília Fieler
220,Ana Fostel
221,Ana L. Revenga
222,Ana M. Ferrer
223,Anand V. Swamy
224,Ananth Ramanarayanan
225,Ananth Seshadri
226,Anastasios Xepapadeas
227,Anat Bracha
228,Anat R. Admati
229,Anders Akerman
230,Anders Björklund
232,Anders Poulsen
233,Anders Rahbek
234,Anders Rygh Swensen
235,Andrea Attar
236,Andrea Frazzini
237,Andrea Galeotti
238,Andrea Generale
239,Andrea Ichino
240,Andrea Isoni
241,Andrea L. Eisfeldt
242,Andrea Moro
243,Andrea Prat
244,Andrea Shepard
245,Andrea Tambalotti
246,Andrea Weber
247,Andrea Wilson
248,Andreas Blume
249,Andreas Fuster
250,Andreas Herrmann
251,Andreas Hornstein
252,Andreas I. Mueller
253,Andreas Kontoleon
254,Andreas Lange
255,Andreas Madestam
256,Andreas Moxnes
257,Andreas Park
259,Andreas Ravndal Kostøl
260,Andreas Roider
261,Andrei A. Levchenko
262,Andrei Kirilenko
263,Andrei Shleifer
264,Andres Erosa
266,Andres Santos
268,Andreu Mas-Colell
269,Andrew A. Samwick
271,Andrew Atkeson
272,Andrew B. Abel
273,Andrew B. Bernard
276,Andrew Charlton
277,Andrew Chesher
278,Andrew Ching
279,Andrew D. Foster
281,Andrew Ellul
282,Andrew F. Daughety
283,Andrew F. Newman
285,Andrew Haughwout
286,Andrew J. Hussey
287,Andrew J. Oswald
288,Andrew J. Plantinga
289,Andrew J. Policano
290,Andrew J. Seltzer
292,Andrew K. Rose
293,Andrew Levin
294,Andrew M. Warner
295,Andrew McLennan
296,Andrew Metrick
297,Andrew Postlewaite
299,Andrew S. Caplin
300,Andrew Schmitz
301,Andrew Schotter
302,Andrew Sweeting
303,Andrew V. Carter
304,Andrew W. Lo
305,Andrew Weiss
306,Andrey Malenko
307,Andriy Norets
308,Andrzej Rapaczynski
309,Andrzej Ruszczynski
310,Andrzej Skrzypacz
311,André Kurmann
312,André Sapir
314,Andrés Aradillas-López
315,Andrés Carvajal
316,Andrés Rodríguez-Clare
317,Andrés Velasco
318,Aner Sela
319,Angel Serrat
320,Angela K. Dills
321,Angela Vossmeyer
325,Anil K. Kashyap
327,Aniol Llorente-Saguer
328,Anirban Mitra
329,Anita Tuladhar
330,Anjan V. Thakor
331,Anjini Kochar
332,Anke S. Kessler
333,Ann A. McDermed
335,Ann Dryden Witte
336,Ann E. Harrison
337,Ann P. Bartel
338,Anna Aizer
339,Anna Bogomolnaia
340,Anna Dreber
341,Anna J. Schwartz
342,Anna L. Paulson
343,Anna Maria Mayda
344,Anna Mikusheva
345,Anna Pavlova
346,Anna Piil Damm
347,Anna Salomons
348,Annamaria Lusardi
350,Anne P. Villamil
353,Annette Vissing-Jørgensen
354,Annika Sundén
356,"Anthony A. Smith, Jr."
357,Anthony B. Atkinson
358,Anthony C. Fisher
360,Anthony J. Venables
361,Anthony M. Kwasnica
362,Anthony Patrick O'Brien
363,Anthony Paul
364,Anthony Romeo
365,Anthony Ziegelmeyer
366,Antoine Billot
367,Antoine Bozio
368,Antoinette Schoar
369,Antonella Nocco
370,Antonella Trigari
371,Antoni Calvó-Armengol
372,Antoni Estevadeordal
374,Antonin Macé
375,Antonio Acconcia
376,Antonio Cabrales
377,Antonio Ciccone
378,Antonio Doblas-Madrid
379,Antonio E. Bernardo
380,Antonio Fatás
381,Antonio Guarino
382,Antonio J. Morales
383,Antonio M. Bento
384,Antonio Merlo
385,Antonio Penta
386,Antonio Rangel
387,Antonio Spilimbergo
388,Antoon Van Den Elzen
389,Anup Malani
390,Anusha Chari
391,Aprajit Mahajan
392,April M. Franco
393,Archawa Paweenawat
394,Archishman Chakraborty
395,Argia M. Sbordone
396,Ari Kuncoro
397,Arie Beresteanu
398,Arie Kapteyn
401,Ariel Rubinstein
403,Ariel Tomás Burstein
404,Ariel Zetlin-Jones
405,Ariell Reshef
406,Arijit Mukherji
407,Arijit Sen
408,Arik Levinson
409,Arindrajit Dube
410,Aris Protopapadakis
411,Arleen Leibowitz
412,Arline T. Geronimus
413,Armando Gomes
414,Armin Falk
415,Arnaud Costinot
416,Arnaud Dupuy
417,Arno Riedl
418,Arnold C. Harberger
419,Arnoud W. A. Boot
420,Arpit Gupta
421,Art Fraas
422,Arthur A. Small
423,Arthur A. Stone
424,Arthur Campbell
426,Arthur Fishman
428,Arthur J. Hosios
429,Arthur J. Robson
430,Arthur J. Rolnick
431,Arthur Lewbel
433,Arthur S. De Vany
434,Arthur Snow
435,Arthur van Soest
437,Artyom Shneyerov
438,Arunava Sen
439,Arvind Krishnamurthy
440,Arvind Panagariya
441,Arye L. Hillman
442,Asaf Zussman
