InstID,ArticleID,AuthorID,Year
3,2795,191,1998
5,2796,489,1998
494,2796,3953,1998
2,2796,3953,1998
13,2796,3953,1998
588,2797,162,1998
30,2797,1232,1998
412,2798,4929,1998
1,2799,1329,1998
504,2799,1329,1998
170,2799,1718,1998
504,2799,1718,1998
259,2799,1718,1998
504,2799,4069,1998
337,2799,4069,1998
693,2800,3003,1998
693,2800,3898,1998
494,2801,3714,1998
15,2801,3714,1998
494,2801,4508,1998
3,2801,4508,1998
3,2802,2457,1998
542,2802,2457,1998
9,2802,5456,1998
213,2803,179,1998
4,2804,2868,1998
14,2804,3219,1998
16,2805,2039,1998
304,2805,2039,1998
13,2806,2436,1998
617,2807,3666,1998
23,2808,983,1998
44,2809,2434,1998
3,2810,3379,1998
5,2810,3379,1998
5,2810,5673,1998
3,2810,5673,1998
3,2811,1875,1998
3,2811,5766,1998
3,2812,316,1998
4,2812,1983,1998
13,2813,3188,1998
13,2813,3978,1998
11,2813,4518,1998
425,2814,1714,1998
340,2814,1714,1998
14,2814,6041,1998
617,2815,5669,1998
101,2815,5669,1998
495,2816,5963,1998
652,2817,4095,1998
1,2817,4095,1998
1,2817,4844,1998
494,2817,4844,1998
101,2818,1179,1998
617,2818,1179,1998
101,2818,4010,1998
617,2818,4010,1998
22,2819,1467,1998
200,2819,5898,1998
25,2820,784,1998
25,2820,2379,1998
25,2820,5329,1998
357,2821,565,1998
396,2821,3605,1998
21,2822,356,1998
338,2822,4473,1998
504,2822,4473,1998
15,2822,4473,1998
4,2823,882,1998
4,2823,6507,1998
1,2824,4479,1998
17,2825,3744,1998
578,2825,5254,1998
2,2826,1059,1998
3,2827,754,1998
18,2828,734,1998
40,2828,3830,1998
2,2829,263,1998
2,2829,1750,1998
2,2829,4675,1998
3,2829,4975,1998
12,2830,2419,1998
8,2831,5935,1998
75,2832,434,1998
156,2832,5144,1998
463,2833,4650,1998
15,2833,5131,1998
412,2833,6140,1998
38,2833,6140,1998
269,2834,6259,1998
257,2834,6259,1998
22,2835,2995,1999
51,2836,269,1999
494,2836,269,1999
51,2836,4690,1999
341,2837,414,1999
341,2837,1653,1999
57,2838,2976,1999
309,2838,2976,1999
15,2838,5660,1999
79,2839,209,1999
65,2839,5356,1999
98,2840,2788,1999
153,2840,3068,1999
98,2840,5725,1999
494,2841,2820,1999
617,2841,2820,1999
3,2841,2820,1999
2,2841,2916,1999
494,2841,2916,1999
169,2842,1442,1999
17,2842,2361,1999
494,2843,337,1999
9,2843,337,1999
494,2843,4142,1999
9,2843,4142,1999
86,2844,2485,1999
49,2844,5671,1999
44,2845,1942,1999
596,2846,2674,1999
5,2846,4080,1999
175,2846,4408,1999
494,2847,1233,1999
2,2847,1233,1999
2,2847,1484,1999
494,2847,1484,1999
2,2847,2380,1999
494,2848,798,1999
26,2848,798,1999
1,2849,1133,1999
1,2849,3137,1999
44,2850,4659,1999
150,2850,4817,1999
21,2851,1332,1999
494,2851,1332,1999
24,2851,2198,1999
17,2852,279,1999
8,2852,2668,1999
8,2852,3752,1999
462,2852,4633,1999
40,2853,4544,1999
527,2854,572,1999
501,2854,572,1999
498,2854,572,1999
264,2854,3105,1999
3,2854,4322,1999
157,2855,5113,1999
457,2856,3115,1999
457,2856,5952,1999
33,2857,1021,1999
26,2857,2950,1999
28,2857,5837,1999
672,2858,2721,1999
712,2858,4998,1999
14,2858,5457,1999
712,2858,6294,1999
242,2859,3044,1999
25,2859,3901,1999
236,2859,5326,1999
242,2859,5444,1999
1,2860,1133,1999
4,2860,4956,1999
217,2861,264,1999
48,2861,4769,1999
485,2861,4769,1999
45,2861,5629,1999
456,2862,6052,1999
169,2863,7032,1999
475,2864,3087,1999
1,2864,3087,1999
122,2865,1559,1999
198,2865,4781,1999
14,2866,1774,1999
494,2866,1774,1999
494,2866,3192,1999
21,2866,3192,1999
494,2867,1253,1999
27,2867,1253,1999
158,2867,5920,1999
10,2868,1475,1999
6,2869,2882,1999
43,2869,3436,1999
114,2870,985,1999
249,2871,675,1999
21,2871,842,1999
265,2871,4602,1999
10,2872,14,1999
494,2872,14,1999
1,2872,2940,1999
494,2872,2940,1999
337,2873,3453,1999
67,2874,4902,1999
57,2875,922,1999
617,2875,3890,1999
8,2876,3752,1999
14,2877,4916,1999
494,2878,961,1999
2,2878,961,1999
5,2879,1492,1999
6,2880,2882,1999
2,2881,4904,1999
3,2882,754,1999
115,2883,1188,1999
449,2884,1779,1999
130,2884,2296,1999
3,2885,5289,1999
5,2885,5289,1999
169,2886,2867,1997
208,2886,2867,1997
617,2886,4255,1997
101,2886,4255,1997
617,2887,2813,1997
14,2887,5556,1997
494,2887,5556,1997
46,2888,187,1997
425,2888,6025,1997
101,2889,501,1997
494,2890,5672,1997
5,2890,5672,1997
336,2891,1664,1997
252,2892,2218,1997
15,2892,2218,1997
477,2892,3083,1997
252,2892,3083,1997
8,2893,3442,1997
101,2893,3442,1997
617,2893,3442,1997
8,2893,5660,1997
15,2893,5660,1997
8,2894,3247,1997
101,2894,4010,1997
16,2895,1422,1997
8,2895,1807,1997
175,2896,2906,1997
175,2896,3662,1997
617,2897,664,1997
44,2897,664,1997
44,2897,5841,1997
99,2898,2002,1997
76,2898,2481,1997
76,2898,5067,1997
62,2898,5474,1997
128,2899,1414,1997
46,2900,2574,1997
513,2900,3393,1997
48,2900,4865,1997
16,2901,607,1997
430,2901,3828,1997
8,2901,3828,1997
1,2902,1133,1997
252,2902,1711,1997
4,2903,470,1997
540,2903,1525,1997
412,2903,1525,1997
4,2903,1888,1997
43,2904,1177,1997
43,2904,5793,1997
34,2905,816,1997
23,2905,824,1997
45,2905,4740,1997
169,2906,10,1997
206,2906,1142,1997
206,2906,4352,1997
2,2907,1484,1997
494,2907,1484,1997
494,2907,1996,1997
1,2907,1996,1997
3,2908,1434,1997
617,2909,1156,1997
617,2909,2920,1997
617,2910,3810,1997
617,2910,5402,1997
175,2911,899,1997
175,2911,4673,1997
494,2912,1870,1997
8,2912,1870,1997
504,2912,2443,1997
172,2912,2443,1997
263,2912,2443,1997
2,2913,1399,1997
3,2914,754,1997
24,2915,5917,1997
16,2916,1422,2000
8,2916,1807,2000
13,2917,1464,2000
412,2917,1464,2000
169,2917,4048,2000
527,2918,572,2000
501,2918,572,2000
498,2918,572,2000
3,2918,4322,2000
674,2919,2702,2000
617,2919,2820,2000
3,2919,2820,2000
494,2919,2820,2000
257,2920,2077,2000
5,2920,3427,2000
18,2920,6066,2000
10,2921,379,2000
10,2921,4297,2000
9,2922,422,2000
11,2922,2006,2000
15,2923,2673,2000
48,2923,4197,2000
15,2923,5131,2000
5,2924,4441,2000
19,2925,2400,2000
94,2925,2400,2000
94,2925,2507,2000
68,2925,4001,2000
504,2926,3306,2000
338,2926,3306,2000
4,2927,4386,2000
252,2927,6007,2000
623,2927,6007,2000
3,2928,462,2000
542,2928,462,2000
17,2929,2361,2000
588,2929,4721,2000
213,2930,3509,2000
213,2930,6021,2000
3,2931,5953,2000
3,2932,5147,2000
527,2933,572,2000
504,2933,572,2000
498,2933,572,2000
527,2933,6653,2000
504,2933,6653,2000
249,2933,6653,2000
4,2934,470,2000
4,2934,1715,2000
4,2934,1888,2000
217,2935,5829,2000
199,2936,5378,2000
32,2937,519,2000
81,2938,1249,2000
88,2938,4868,2000
502,2939,3130,2000
170,2939,3130,2000
38,2939,5106,2000
494,2939,5106,2000
175,2940,4628,2000
277,2940,5369,2000
175,2940,5369,2000
40,2941,657,2000
3,2941,1291,2000
494,2941,1291,2000
171,2942,3253,2000
21,2942,5489,2000
14,2943,6253,2000
8,2944,4718,2000
8,2944,4826,2000
29,2944,5431,2000
20,2945,91,2000
236,2946,5662,2000
186,2946,5662,2000
344,2946,6282,2000
527,2947,2386,2000
249,2947,2386,2000
23,2947,5692,2000
585,2948,5729,2000
45,2948,5779,2000
3,2949,3556,2000
154,2950,1320,2000
494,2950,3795,2000
21,2950,3795,2000
494,2950,5944,2000
21,2950,5944,2000
617,2951,2789,2000
38,2951,5325,2000
169,2952,4766,2000
16,2952,4766,2000
213,2953,2111,2000
457,2953,5996,2000
494,2954,754,2000
3,2954,754,2000
9,2954,6013,2000
252,2954,6013,2000
494,2954,6013,2000
24,2955,2198,2000
13,2956,1149,2000
586,2957,1008,2000
518,2957,1037,2000
518,2957,3158,2000
578,2957,3892,2000
18,2957,3892,2000
1,2958,2940,2000
494,2958,2940,2000
5,2959,331,2000
13,2960,3298,2000
178,2961,3475,2000
617,2961,3475,2000
514,2962,2045,2000
255,2962,2045,2000
504,2962,2045,2000
504,2962,2077,2000
257,2962,2077,2000
504,2962,5789,2000
338,2962,5789,2000
494,2962,5789,2000
617,2963,1816,2000
617,2963,5913,2000
101,2963,5913,2000
457,2964,3115,2001
38,2964,6102,2001
1,2965,24,2001
283,2965,1324,2001
16,2965,1324,2001
38,2965,1359,2001
8,2965,3146,2001
128,2966,60,2001
29,2966,2871,2001
78,2967,2950,2001
26,2967,2950,2001
8,2968,2849,2001
8,2968,4224,2001
8,2968,4549,2001
494,2968,4549,2001
504,2969,1976,2001
252,2969,1976,2001
509,2969,1976,2001
249,2969,1976,2001
55,2970,4543,2001
230,2971,1020,2001
16,2971,5485,2001
44,2972,3919,2001
44,2972,5419,2001
3,2973,1434,2001
494,2973,1434,2001
3,2973,4684,2001
