ArticleID,JEL
3506,F
3506,O
3506,H
3507,L
3507,O
3507,M
3507,O
3508,L
3508,L
3508,D
3508,L
3509,H
3509,H
3509,H
3509,E
3509,E
3510,F
3510,F
3510,F
3511,E
3511,G
3511,D
3511,D
3511,D
3511,D
3512,F
3512,D
3512,K
3512,K
3512,D
3512,D
3513,G
3514,G
3514,G
3514,G
3515,E
3515,N
3516,D
3516,G
3517,Q
3517,H
3517,Q
3517,C
3517,O
3518,D
3518,J
3519,Z
3519,D
3519,D
3520,I
3520,J
3521,N
3521,N
3521,O
3521,J
3522,J
3522,F
3522,O
3523,G
3523,G
3523,G
3524,H
3524,J
3525,D
3525,D
3526,O
3526,E
3526,F
3526,F
3526,F
3526,P
3527,C
3527,D
3527,D
3528,J
3528,I
3528,I
3528,I
3529,N
3529,P
3529,O
3530,D
3530,O
3530,F
3530,D
3530,F
3531,E
3531,D
3531,J
3531,N
3532,F
3532,L
3532,F
3533,D
3533,K
3533,Z
3533,J
3533,D
3534,D
3534,O
3534,H
3535,L
3535,D
3535,H
3535,H
3536,M
3536,D
3536,L
3537,J
3537,O
3537,O
3537,I
3538,F
3538,G
3539,L
3539,G
3539,D
3539,L
3540,I
3540,J
3540,I
3540,C
3541,G
3541,F
3541,E
3541,E
3542,D
3542,D
3542,D
3542,D
3542,C
3543,N
3543,O
3543,O
3543,N
3543,O
3543,N
3544,I
3544,I
3545,I
3546,D
3546,D
3546,H
3547,L
3547,L
3547,D
3547,L
3548,I
3548,H
3549,I
3550,E
3550,E
3551,D
3551,L
3552,I
3552,I
3552,I
3552,J
3553,R
3553,R
3553,O
3553,J
3554,F
3554,F
3554,H
3554,Q
3555,J
3555,G
3555,G
3555,J
3556,H
3556,C
3556,D
3557,F
3557,F
3557,L
3557,F
3558,J
3558,H
3559,C
3559,D
3559,D
3560,E
3560,G
3561,I
3561,D
3562,Q
3562,O
3562,O
3562,D
3563,F
3563,F
3563,F
3564,J
3564,J
3564,J
3564,J
3565,E
3565,E
3565,G
3566,J
3566,J
3566,I
3566,J
3566,J
3567,R
3567,N
3567,R
3567,O
3568,E
3568,O
3569,F
3569,E
3569,E
