ArticleID,Journal,Volume,Issue,FirstPage
1,ECA,66,6,1241
2,ECA,66,6,1279
3,ECA,66,6,1299
4,ECA,66,6,1327
5,ECA,66,6,1353
6,ECA,66,6,1389
7,ECA,66,5,1017
8,ECA,66,5,1099
9,ECA,66,5,1127
10,ECA,66,5,1163
11,ECA,66,5,1183
12,ECA,66,4,741
13,ECA,66,4,783
14,ECA,66,4,827
15,ECA,66,4,863
16,ECA,66,4,897
17,ECA,66,3,497
18,ECA,66,3,529
19,ECA,66,3,569
20,ECA,66,3,597
21,ECA,66,3,627
22,ECA,66,3,653
23,ECA,66,3,673
24,ECA,66,2,249
25,ECA,66,2,289
26,ECA,66,2,315
27,ECA,66,2,333
28,ECA,66,2,359
29,ECA,66,2,381
30,ECA,66,2,409
31,ECA,66,2,427
32,ECA,66,1,1
33,ECA,66,1,47
34,ECA,66,1,79
35,ECA,66,1,105
36,ECA,66,1,123
37,ECA,65,6,1247
38,ECA,65,6,1283
39,ECA,65,6,1311
40,ECA,65,6,1335
41,ECA,65,6,1365
42,ECA,65,6,1389
43,ECA,65,6,1421
44,ECA,65,5,1005
45,ECA,65,5,1029
46,ECA,65,5,1059
47,ECA,65,5,1097
48,ECA,65,5,1129
49,ECA,65,5,1153
50,ECA,65,5,1175
51,ECA,65,4,745
52,ECA,65,4,781
53,ECA,65,4,833
54,ECA,65,4,861
55,ECA,65,4,875
56,ECA,65,4,913
57,ECA,65,4,933
58,ECA,65,3,487
59,ECA,65,3,517
60,ECA,65,3,557
61,ECA,65,3,587
62,ECA,65,3,601
63,ECA,65,3,627
64,ECA,65,3,647
65,ECA,65,2,225
66,ECA,65,2,275
67,ECA,65,2,311
68,ECA,65,2,347
69,ECA,65,1,1
70,ECA,65,1,19
71,ECA,65,1,59
72,ECA,65,1,75
73,ECA,65,1,103
74,ECA,65,1,133
75,ECA,64,6,1249
76,ECA,64,6,1263
77,ECA,64,6,1299
78,ECA,64,6,1311
79,ECA,64,6,1343
80,ECA,64,6,1375
81,ECA,64,6,1395
82,ECA,64,6,1415
83,ECA,64,6,1439
84,ECA,64,5,1001
85,ECA,64,5,1045
86,ECA,64,5,1067
87,ECA,64,5,1085
88,ECA,64,5,1109
89,ECA,64,5,1125
90,ECA,64,5,1151
91,ECA,64,5,1183
92,ECA,64,5,1195
93,ECA,64,4,763
94,ECA,64,4,813
95,ECA,64,4,837
96,ECA,64,4,865
97,ECA,64,4,891
98,ECA,64,4,917
99,ECA,64,4,943
100,ECA,64,4,957
101,ECA,64,3,527
102,ECA,64,3,561
103,ECA,64,3,575
104,ECA,64,3,597
105,ECA,64,3,623
106,ECA,64,3,647
107,ECA,64,2,261
108,ECA,64,2,295
109,ECA,64,2,333
110,ECA,64,2,343
111,ECA,64,2,357
112,ECA,64,2,381
113,ECA,64,2,413
114,ECA,64,1,1
115,ECA,64,1,29
116,ECA,64,1,51
117,ECA,64,1,77
118,ECA,64,1,103
119,ECA,64,1,139
120,ECA,64,1,175
121,ECA,63,6,1255
122,ECA,63,6,1281
123,ECA,63,6,1303
124,ECA,63,6,1321
125,ECA,63,6,1337
126,ECA,63,6,1371
127,ECA,63,6,1401
128,ECA,63,6,1421
129,ECA,63,6,1445
130,ECA,63,5,1023
131,ECA,63,5,1079
132,ECA,63,5,1113
133,ECA,63,5,1133
134,ECA,63,5,1161
135,ECA,63,5,1181
136,ECA,63,5,1195
137,ECA,63,4,755
138,ECA,63,4,767
139,ECA,63,4,805
140,ECA,63,4,841
141,ECA,63,4,891
142,ECA,63,4,953
143,ECA,63,4,981
144,ECA,63,3,507
145,ECA,63,3,545
146,ECA,63,3,567
147,ECA,63,3,591
148,ECA,63,3,621
149,ECA,63,3,647
150,ECA,63,3,667
151,ECA,63,3,681
152,ECA,63,2,265
