ArticleID,JEL
3506,F35
3506,O4
3506,H41
3507,L2
3507,O33
3507,M2
3507,O32
3508,L10
3508,L13
3508,D44
3508,L41
3509,H5
3509,H3
3509,H2
3509,E2
3509,E6
3510,F1
3510,F2
3510,F4
3511,E21
3511,G11
3511,D14
3511,D84
3511,D83
3511,D03
3512,F13
3512,D86
3512,K33
3512,K12
3512,D78
3512,D02
3513,G32
3514,G2
3514,G01
3514,G21
3515,E62
3515,N42
3516,D14
3516,G2
3517,Q51
3517,H75
3517,Q25
3517,C93
3517,O13
3518,D03
3518,J12
3519,Z13
3519,D91
3519,D81
3520,I21
3520,J24
3521,N10
3521,N50
3521,O14
3521,J10
3522,J20
3522,F10
3522,O30
3523,G28
3523,G21
3523,G01
3524,H20
3524,J20
3525,D03
3525,D83
3526,O43
3526,E62
3526,F21
3526,F34
3526,F43
3526,P16
3527,C72
3527,D78
3527,D72
3528,J24
3528,I28
3528,I21
3528,I22
3529,N40
3529,P16
3529,O11
3530,D20
3530,O10
3530,F10
3530,D30
3530,F15
3531,E10
3531,D30
3531,J10
3531,N10
3532,F12
3532,L10
3532,F13
3533,D03
3533,K40
3533,Z13
3533,J15
3533,D71
3534,D74
3534,O11
3534,H40
3535,L91
3535,D44
3535,H57
3535,H41
3536,M37
3536,D44
3536,L86
3537,J13
3537,O15
3537,O12
3537,I12
3538,F50
3538,G14
3539,L81
3539,G31
3539,D40
3539,L15
3540,I21
3540,J12
3540,I38
3540,C93
3541,G21
3541,F40
3541,E32
3541,E44
3542,D03
3542,D11
3542,D81
3542,D84
3542,C91
3543,N13
3543,O33
3543,O11
3543,N33
3543,O18
3543,N93
3544,I21
3544,I20
3545,I12
3546,D02
3546,D72
3546,H11
3547,L14
3547,L71
3547,D24
3547,L23
3548,I20
3548,H52
3549,I12
3550,E50
3550,E31
3551,D83
3551,L86
3552,I21
3552,I24
3552,I20
3552,J15
3553,R11
3553,R12
3553,O12
3553,J24
3554,F10
3554,F51
3554,H56
3554,Q32
3555,J20
3555,G38
3555,G34
3555,J48
3556,H41
3556,C93
3556,D03
3557,F10
3557,F12
3557,L10
3557,F14
3558,J38
3558,H22
3559,C79
3559,D03
3559,D43
3560,E58
3560,G01
3561,I11
3561,D89
3562,Q15
3562,O16
3562,O12
3562,D23
3563,F14
3563,F31
3563,F12
3564,J51
3564,J01
3564,J08
3564,J50
3565,E43
3565,E44
3565,G12
3566,J16
3566,J22
3566,I21
3566,J13
3566,J12
3567,R12
3567,N10
3567,R11
3567,O18
3568,E62
3568,O23
3569,F32
3569,E32
3569,E44
3569,F34
3570,J64
3570,J65
3570,J68
3571,O18
3571,N91
3571,N92
3571,R12
3571,F12
3572,D82
3572,D02
3572,H10
3573,D03
3573,D04
3573,D01
3573,D44
3573,D02
3574,K41
3574,K40
3574,H10
3574,K14
3574,K00
3574,J71
3575,O31
3575,J61
3576,F13
3576,D24
3576,D21
3576,F12
3577,H4
3577,J24
3577,I2
3578,D03
3578,D81
3579,D74
3579,N33
3579,N94
3579,N34
3579,N93
3580,H51
3580,I1
3580,H75
3581,D85
3581,D83
3581,Z13
3581,J15
3581,I21
3582,E32
3582,E13
3582,H25
3583,E52
3583,E62
3583,E32
3584,H20
3584,E62
3585,L13
3585,C73
3585,D82
3586,C72
3586,D23
3586,D78
3586,D82
3587,D71
3587,N32
3587,R23
3587,D72
3588,J3
3588,J2
3588,N2
3588,G2
3589,D8
3589,C7
3590,D61
3590,D40
3590,D82
3590,L40
3590,L10
3591,D23
3591,D20
3592,D73
3592,L73
3593,D11
3593,I2
3593,I23
3593,C35
3594,O32
3594,L2
3594,O14
3594,O33
3594,M2
3595,C72
3595,C73
3595,Z1
3596,J63
3596,J16
3596,J71
3597,O40
3597,O14
3598,J24
3598,I28
3598,I21
3598,C31
3599,D40
3599,D91
3599,D03
3600,I25
3600,O11
3600,R11
3601,C6
3601,C73
3601,D91
3601,E21
3602,K14
3602,K40
3602,H76
3603,G31
3603,D24
3604,C78
3604,C72
3604,C71
3605,L22
3605,D41
3605,D21
3605,D23
3605,L14
3605,L11
3606,E6
3606,D5
3606,H2
3606,E2
3606,J3
3606,D8
3606,J6
3607,D74
3607,D71
3608,C93
3608,J64
3608,J68
3609,E24
3609,D21
3609,J60
3610,H1
3610,D74
3610,D02
3611,J22
3611,O12
3611,H31
3612,D03
3612,J16
3612,N30
3613,J00
3613,J31
3613,J40
3614,D53
3614,G12
3614,G11
3615,H1
3616,O43
3616,J61
3616,L14
3616,O10
3616,F20
3617,G21
3617,G23
3617,E44
