ArticleID,PubDate,AuthorID,Year,Received,Accepted,CiteCount,ReceivedYear,AcceptedYear,FirstPage,LastPage,PageN,ReviewLength,Birth,ChildReceived,ChildAccepted
8581,2012-11-01,3,2012,2010-10-01,2012-06-01,61,2010,2012,2369,2429,60,20.3,0,,
10194,2014-04-01,3,2014,2012-10-01,2013-10-01,71,2012,2013,608,650,42,12.166666666666666,0,,
11135,1988-01-01,4,1988,1984-09-01,1987-06-01,176,1984,1987,85,106,21,33.43333333333333,0,,
8532,2012-07-01,7,2012,2010-02-01,2011-11-01,27,2010,2011,1721,1740,19,21.266666666666666,0,,
11512,1976-06-01,8,1976,1974-11-01,1975-06-01,271,1974,1975,217,235,18,7.066666666666666,0,,
11641,1977-10-01,8,1977,1973-10-01,1976-10-01,266,1973,1976,561,572,11,36.53333333333333,0,,
76,1996-11-01,9,1996,1992-07-01,1996-01-01,687,1992,1996,1263,1297,34,42.63333333333333,0,,
140,1995-07-01,9,1995,1992-11-01,1994-09-01,1086,1992,1994,841,890,49,22.3,0,,
418,1989-09-01,9,1989,1987-10-01,1989-03-01,458,1987,1989,1027,1057,30,17.233333333333334,0,,
593,1986-07-01,9,1986,1984-05-01,1985-11-01,340,1984,1985,755,784,29,18.3,0,,
3776,2001-09-01,9,2001,1996-12-01,2000-08-01,60,1996,2000,1261,1281,20,44.63333333333333,0,,
8329,2015-01-01,9,2015,2006-12-01,2014-03-01,19,2006,2014,315,334,19,88.23333333333333,0,,
8430,2010-11-01,9,2010,2008-05-01,2010-07-01,19,2008,2010,1783,1822,39,26.366666666666667,0,,
10575,2004-07-01,9,2004,2000-07-01,2003-08-01,46,2000,2003,613,654,41,37.53333333333333,0,,
10600,1995-01-01,9,1995,1990-03-01,1994-07-01,694,1990,1994,53,82,29,52.766666666666666,0,,
11307,1981-07-01,9,1981,1979-12-01,1980-12-01,6,1979,1980,385,394,9,12.2,0,,
11460,1984-04-01,9,1984,1982-09-01,1983-10-01,48,1982,1983,243,262,19,13.166666666666666,0,,
1059,1979-11-01,11,1979,1978-03-01,1978-11-01,45,1978,1978,1321,1336,15,8.166666666666666,0,,
16,1998-07-01,13,1998,1994-08-01,1997-06-01,10,1994,1997,897,922,25,34.5,0,,
10585,2004-07-01,15,2004,2001-06-01,2003-06-01,121,2001,2003,883,913,30,24.333333333333332,0,,
10193,2014-04-01,24,2014,2008-05-01,2013-07-01,36,2008,2013,572,607,35,62.9,0,,
10551,2004-01-01,24,2004,2000-03-01,2002-10-01,45,2000,2002,19,42,23,31.466666666666665,0,,
10714,1998-10-01,24,1998,1996-03-01,1997-11-01,45,1996,1997,631,653,22,20.333333333333332,0,,
